Hawaii Ocean Time-series : 28-Feb-2024 07:50:55
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, chl, chlb, hplc, mvchla, dvchla, 
#, mmddyy, hhmmss, dbar, ug/l, ng/l, ng/l, ng/l, ng/l, 
2680200122, 121614, 130829,    7.9,   0.15,  -9.0,  -9.0,  -9.0,  -9.0,
2680200121, 121614, 130819,    7.3,   0.15,  -9.0,  -9.0,  -9.0,  -9.0,
2680200120, 121614, 130809,    7.4,   0.15,  -9.0,  -9.0,  -9.0,  -9.0,
2680201322, 121814, 070314,    6.0,   0.14,  20.0, 159.0,  41.0, 118.0,
2690200120, 022415, 130551,    4.7,   0.09,  -9.0,  -9.0,  -9.0,  -9.0,
2690200119, 022415, 130541,    4.7,   0.09,  -9.0,  -9.0,  -9.0,  -9.0,
2690200118, 022415, 130532,    4.6,   0.07,  -9.0,  -9.0,  -9.0,  -9.0,
2690201421, 022615, 072153,    4.6,   0.09,  11.0, 105.0,  36.0,  69.0,
2700200122, 032815, 132058,    4.9,   0.10,  -9.0,  -9.0,  -9.0,  -9.0,
2700200121, 032815, 132048,    4.9,   0.11,  -9.0,  -9.0,  -9.0,  -9.0,
2700200120, 032815, 132037,    4.8,   0.10,  -9.0,  -9.0,  -9.0,  -9.0,
2700200521, 033015, 105341,    4.4,   0.08,   7.0,  81.0,  32.0,  50.0,
2710200121, 042115, 130502,    5.5,   0.07,  -9.0,  -9.0,  -9.0,  -9.0,
2710200120, 042115, 130453,    5.5,   0.07,  -9.0,  -9.0,  -9.0,  -9.0,
2710201421, 042315, 070000,    8.0,   0.06,   6.0,  79.0,  38.0,  41.0,
2720200224, 052315, 125301,    7.3,   0.10,  -9.0,  -9.0,  -9.0,  -9.0,
2720200223, 052315, 125251,    7.2,   0.09,  -9.0,  -9.0,  -9.0,  -9.0,
2720200222, 052315, 125242,    6.9,   0.09,  -9.0,  -9.0,  -9.0,  -9.0,
2720201521, 052515, 070803,    6.1,   0.11,   6.0,  90.0,  46.0,  43.0,
2730200222, 061915, 125210,    8.1,   0.05,  -9.0,  -9.0,  -9.0,  -9.0,
2730200221, 061915, 125201,    8.1,   0.06,  -9.0,  -9.0,  -9.0,  -9.0,
2730200220, 061915, 125150,    8.1,   0.06,  -9.0,  -9.0,  -9.0,  -9.0,
2730201521, 062115, 071149,    6.1,   0.05,   4.0,  59.0,  30.0,  29.0,
2740200220, 071915, 132824,    7.1,   0.06,  -9.0,  -9.0,  -9.0,  -9.0,
2740200219, 071915, 132814,    6.7,   0.05,  -9.0,  -9.0,  -9.0,  -9.0,
2740200218, 071915, 132804,    6.9,   0.06,  -9.0,  -9.0,  -9.0,  -9.0,
2740201524, 072115, 065438,    6.4,   0.05,   5.0,  56.0,  28.0,  29.0,
2750200122, 081215, 125726,    4.8,   0.08,  -9.0,  -9.0,  -9.0,  -9.0,
2750200121, 081215, 125717,    4.8,   0.07,  -9.0,  -9.0,  -9.0,  -9.0,
2750200120, 081215, 125706,    4.8,   0.07,  -9.0,  -9.0,  -9.0,  -9.0,
2750201424, 081415, 071138,    5.1,   0.06,   4.0,  55.0,  28.0,  26.0,
2770200120, 101315, 125153,    5.2,   0.11,  -9.0,  -9.0,  -9.0,  -9.0,
2770201424, 101515, 070024,    4.7,   0.09,   4.0,  48.0,  24.0,  24.0,
2780200723, 111415, 125933,    4.1,   0.17,  -9.0,  -9.0,  -9.0,  -9.0,
2780200722, 111415, 125922,    4.6,   0.18,  -9.0,  -9.0,  -9.0,  -9.0,
2780200721, 111415, 125913,    5.4,   0.15,  -9.0,  -9.0,  -9.0,  -9.0,
2790200122, 120815, 131435,    4.6,   0.11,  -9.0,  -9.0,  -9.0,  -9.0,
2790200121, 120815, 131426,    4.5,   0.09,  -9.0,  -9.0,  -9.0,  -9.0,
2790200120, 120815, 131415,    4.6,   0.09,  -9.0,  -9.0,  -9.0,  -9.0,
2790201421, 121015, 071312,    5.4,   0.07,   5.0,  68.0,  35.0,  33.0,
2800200122, 011216, 131337,    7.4,   0.11,  -9.0,  -9.0,  -9.0,  -9.0,
2800200121, 011216, 131327,    7.4,   0.12,  -9.0,  -9.0,  -9.0,  -9.0,
2800200120, 011216, 131318,    7.4,   0.12,  -9.0,  -9.0,  -9.0,  -9.0,
2800201421, 011416, 071619,    6.1,   0.10,  -9.0,  -9.0,  -9.0,  -9.0,
2810200122, 020916, 130513,    6.3,   0.09,  -9.0,  -9.0,  -9.0,  -9.0,
2810200121, 020916, 130503,    6.2,   0.09,  -9.0,  -9.0,  -9.0,  -9.0,
2810200120, 020916, 130453,    6.1,   0.08,  -9.0,  -9.0,  -9.0,  -9.0,
2810201423, 021116, 071027,    7.3,   0.08,   0.0,  66.0,  28.0,  38.0,
2820200122, 030816, 125620,    6.9,   0.07,  -9.0,  -9.0,  -9.0,  -9.0,
2820200121, 030816, 125610,    6.9,   0.08,  -9.0,  -9.0,  -9.0,  -9.0,
