

Hawaii Ocean Time-series : 16-Jun-2022 13:50:22
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pc, atp,
#, mmddyy, hhmmss, dbar, umol/kg, ng/kg,
2680200417, 121714, 031434,    7.4,   1.97,  -9.00,
2680201124, 121814, 011429,    8.5,  -9.00,  25.71,
2690200423, 022515, 021110,    5.0,   2.13,  -9.00,
2690201219, 022615, 012048,    4.8,  -9.00,  20.24,
2700200717, 033015, 160911,    4.6,   1.76,  -9.00,
2700201021, 033015, 231110,    4.7,  -9.00,  18.48,
2710200417, 042215, 015239,    7.6,   2.52,  -9.00,
2710201220, 042315, 011210,    6.2,  -9.00,  24.99,
2720200520, 052415, 013539,    7.5,   2.40,  -9.00,
2720201320, 052515, 010817,    7.0,  -9.00,  29.16,
2730200517, 062015, 013257,    6.3,   2.40,  -9.00,
2730201323, 062115, 012019,    7.6,  -9.00,  23.90,
2740200518, 072015, 012326,    6.6,   2.23,  -9.00,
2740201320, 072115, 010358,    6.4,  -9.00,  22.86,
2750200417, 081315, 012341,    4.7,   2.13,  -9.00,
2750201220, 081415, 010032,    5.6,  -9.00,  18.56,
2770200417, 101415, 013032,    4.9,   3.11,  -9.00,
2770201220, 101515, 005323,    5.5,  -9.00,  20.38,
2780200323, 111415, 011606,    4.9,   3.04,  -9.00,
2780201120, 111515, 013218,    5.6,  -9.00,  41.69,
2790200417, 120915, 012745,    6.4,   2.14,  -9.00,
2790201220, 121015, 010406,    5.9,  -9.00,  18.88,
2800200419, 011316, 011640,    5.2,   1.91,  -9.00,
2800201220, 011416, 010527,    5.1,  -9.00,  22.43,
2810200417, 021016, 012659,    5.4,   1.93,  -9.00,
2810201220, 021116, 010306,    6.3,  -9.00,  26.56,
2820200422, 030916, 013738,    6.5,   2.17,  -9.00,
2820201112, 031016, 025748,    5.3,  -9.00,  33.32,
2830200420, 041516, 012450,    4.8,   1.98,  -9.00,
2830201223, 041616, 010345,    5.2,  -9.00,  21.03,
2840200217, 052916, 013250,    5.4,   2.18,  -9.00,
2840201021, 053016, 010338,    5.5,  -9.00,  24.46,
2850200422, 071216, 012359,    5.2,   2.35,  -9.00,
2850201222, 071316, 010152,    5.7,  -9.00,  19.78,
2860200320, 081016, 010036,    6.7,   2.10,  -9.00,
2860201122, 081116, 010233,    5.0,  -9.00,  23.35,
2870200417, 101616, 012203,    5.2,   2.35,  -9.00,
2870201220, 101716, 010450,    5.2,  -9.00,  29.26,
2880200322, 112716, 010443,    5.8,   2.30,  -9.00,
2880201123, 112816, 010545,    5.0,  -9.00,  22.65,
2890200317, 012417, 031401,    7.6,   1.81,  -9.00,
2890201120, 012517, 011452,    5.4,  -9.00,  21.59,
2900200323, 022317, 041811,    5.6,   2.35,  -9.00,
2900201020, 022417, 023144,    5.6,  -9.00,  26.87,
2910200523, 032917, 013526,    5.4,   2.17,  -9.00,
2910201220, 033017, 011448,    5.7,  -9.00,  18.33,
