Hawaii Ocean Time-series : 31-May-2023 13:45:26
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pbact, sbact, ebact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, #*1e5/ml, #*1e5/ml, 
2680200120, 121614, 130809,    7.4,  1.896,  0.015,  0.006,
2690200120, 022415, 130551,    4.7,  2.407,  0.032,  0.011,
2700200120, 032815, 132037,    4.8,  2.178,  0.042,  0.013,
2710200120, 042115, 130453,    5.5,  1.744,  0.018,  0.014,
2720200222, 052315, 125242,    6.9,  1.828,  0.016,  0.009,
2730200220, 061915, 125150,    8.1,  1.838,  0.016,  0.009,
2740200218, 071915, 132804,    6.9,  1.849,  0.011,  0.004,
2750200120, 081215, 125706,    4.8,  1.652,  0.006,  0.009,
2770200120, 101315, 125153,    5.2,  2.807,  0.010,  0.008,
2780200721, 111415, 125913,    5.4,  2.124,  0.009,  0.010,
2790200120, 120815, 131415,    4.6,  2.052,  0.012,  0.008,
2800200120, 011216, 131318,    7.4,  2.199,  0.017,  0.009,
2810200120, 020916, 130453,    6.1,  2.045,  0.013,  0.012,
2820200120, 030816, 125600,    7.1,  2.623,  0.022,  0.014,
2830200821, 041516, 130738,    4.8,  1.484,  0.011,  0.007,
2840200118, 052816, 135403,    7.2,  1.652,  0.009,  0.011,
2850200118, 071116, 134619,    4.9,  2.197,  0.009,  0.008,
2860200722, 081016, 131121,    6.1,  2.001,  0.009,  0.006,
2870200120, 101516, 130242,    5.5,  2.014,  0.009,  0.007,
2890200721, 012417, 130702,    5.7,  1.692,  0.011,  0.011,
2900200621, 022317, 131202,    6.1,  2.141,  0.054,  0.019,
2910200118, 032817, 105835,    5.2,  1.835,  0.011,  0.011,
2920200120, 042517, 125809,    5.5,  1.854,  0.017,  0.010,
2930200120, 052317, 135621,    4.7,  2.190,  0.010,  0.009,
2940200122, 062017, 131816,    7.5,  2.540,  0.007,  0.006,
2950200121, 080817, 130246,    4.8,  2.339,  0.006,  0.005,
2960200722, 100717, 134337,    5.5,  1.659,  0.013,  0.007,
2970200120, 110817, 125345,    8.1,  1.981,  0.010,  0.007,
2980200120, 121217, 132041,    5.1,  2.305,  0.029,  0.014,
2990200121, 011718, 132910,    7.0,  1.960,  0.019,  0.013,
3000200120, 022518, 125410,    5.0,  1.820,  0.040,  0.020,
3010200621, 041818, 130307,    5.3,  2.014,  0.026,  0.022,
3020200723, 051618, 142147,    4.8,  1.880,  0.015,  0.011,
3030200123, 062618, 135642,    6.2, -9.000,  0.011,  0.011,
3040200123, 072418, 120257,    6.2,  2.081,  0.011,  0.007,
3050200121, 091018, 123519,    7.3,  1.929,  0.014,  0.008,
3060200121, 101218, 131937,    4.6,  2.276,  0.011,  0.007,
3070200121, 111618, 131236,    6.8,  1.905,  0.016,  0.007,
3090200121, 011519, 124310,    6.8,  2.737,  0.021,  0.014,
3100201024, 022119, 073330,    5.2,  1.421,  0.022,  0.014,
3110200121, 050219, 124337,    5.0,  2.258,  0.012,  0.014,
3120200121, 061119, 142444,    5.2,  1.872,  0.009,  0.009,
3130200121, 070119, 123545,    5.4,  1.951,  0.020,  0.014,
3140200121, 080219, 124139,    5.2,  1.981,  0.007,  0.007,
3150200121, 090419, 123420,    5.3,  1.940,  0.006,  0.010,
3160200121, 101719, 122053,    4.6,  2.046,  0.005,  0.007,
3170200121, 121919, 130413,    4.7,  1.985,  0.016,  0.011,
3180200617, 010820, 132749,    5.1,  1.832,  0.013,  0.011,
3190200121, 013020, 131407,    6.8,  2.113,  0.024,  0.015,
3200200122, 071420, 125526,    4.4,  2.034,  0.012,  0.007,
3210200122, 080720, 125611,    4.6,  2.121,  0.005,  0.005,
3220200322, 090220, 130825,    4.7,  2.146,  0.008,  0.007,
3230200122, 092620, 131936,    4.2,  2.039,  0.004,  0.004,
3240200122, 111820, 125259,    4.3,  2.056,  0.029,  0.011,
3250200121, 121820, 125700,    5.5,  1.937,  0.033,  0.010,
3260200122, 011221, 124813,    4.4,  1.513,  0.014,  0.008,
