
Hawaii Ocean Time-series : 30-May-2023 12:26:38
https://hahana.soest.hawaii.edu/hot/hot-dogs/ppextraction.html

crn, date, stime, etime, itype, depth, chl, phaeo, l12, d12, bsal, pbact, hbact, sbact, ebact, 
#, yymmdd, hhmm, hhmm, , m, mg/m3, mg/m3, mg C/m3, mg C/m3, PSS-78, #/ml, #/ml, #/ml, #/ml, 
268, 141216,  433, 1838,  2,    5,  0.152,  0.134,  5.200, -9.000, 35.3244,  189616,  492179,    1482,     637,
269, 150224,  405, 1935,  2,    5,  0.082,  0.069,  5.557, -9.000, 35.1861,  240709,  470924,    3238,    1109,
270, 150328,  424, 1850,  2,    5,  0.103,  0.085, -9.000, -9.000, 35.2877,  217814,  467171,    4204,    1283,
271, 150421,  412, 1910,  2,    5,  0.070,  0.062,  7.167, -9.000, 35.1329,  174419,  535496,    1790,    1353,
272, 150523,  434, 1920,  2,    5,  0.095,  0.056,  6.447, -9.000, 35.2044,  182792,  489052,    1633,     903,
273, 150619,  412, 1925,  2,    5,  0.057,  0.041,  6.727, -9.000, 35.1183,  183757,  538483,    1615,     894,
274, 150719,  430, 1920,  2,    5,  0.059,  0.044,  7.385, -9.000, 35.1514,  184881,  385682,    1058,     387,
275, 150812,  405, 1917,  2,    5,  0.074,  0.048,  8.383, -9.000, 35.3086,  165232,  482807,     589,     874,
277, 151013,  410, 1915,  2,    5,  0.109,  0.064,  8.133, -9.000, 35.2974,  280720,  451648,     966,     813,
279, 151208,  430, 1830,  2,    5,  0.100,  0.068,  7.767, -9.000, 35.0008,  205189,  546340,    1189,     772,
280, 160112,  428, 1900,  2,    5,  0.117,  0.082,  7.195, -9.000, 34.9286,  219888,  424793,    1684,     878,
281, 160209,  420, 1911,  2,    5,  0.085,  0.056,  5.947, -9.000, 34.9213,  204475,  465912,    1332,    1174,
283, 160415,  435, 1922,  2,    5,  0.067,  0.057,  6.533, -9.000, 34.8220,  148351,  398324,    1149,     722,
284, 160528,  517, 1720,  2,    5,  0.061,  0.046,  6.950, -9.000, 34.8703,  165202,  444704,     949,    1150,
285, 160711,  522, 1955,  2,    5,  0.067,  0.050,  5.760, -9.000, 34.8918,  219692,  460606,     872,     775,
286, 160810,  427, 1905,  2,    5,  0.083,  0.050,  7.107, -9.000, 34.8912,  200052,  388401,     878,     558,
287, 161015,  435, 1935,  2,    5,  0.081,  0.068,  5.867, -9.000, 34.9282,  201351,  469316,     867,     750,
289, 170124,  504, 1925,  2,    5,  0.112,  0.092,  7.880, -9.000, 35.0756,  169243,  378443,    1085,    1128,
290, 170223,  453, 2045,  2,    5,  0.108,  0.066,  5.857, -9.000, 34.9648,  214126,  419024,    5363,    1857,
291, 170328,  438, 1933,  2,    5,  0.065,  0.045,  3.347, -9.000, 34.9595,  183474,  423796,    1076,    1071,
292, 170425,  428, 1919,  2,    5,  0.105,  0.031,  5.943, -9.000, 34.8800,  185391,  446453,    1675,     958,
293, 170523,  525, 1948,  2,    5,  0.069,  0.027,  4.543, -9.000, 34.8601,  218969,  512686,    1049,     922,
294, 170620,  445, 1738,  2,    5,  0.043,  0.044,  5.175, -9.000, 34.7811,  254047,  454910,     709,     598,
295, 170808,  455, 1940,  2,    5,  0.103,  0.063, 10.600, -9.000, 34.9168,  233918,  462318,     585,     452,
296, 171007,  522, 1930,  2,    5,  0.068,  0.056,  6.437, -9.000, 35.0874,  165909,  568130,    1266,     694,
297, 171108,  422, 1730,  2,    5,  0.108,  0.102,  7.840, -9.000, 35.0364,  198114,  460235,    9135,     743,
298, 171212,  500, 1840,  2,    5,  0.112,  0.080,  6.037, -9.000, 35.0683,  230508,  464201,    2915,    1425,
300, 180225,  436, 1950,  2,    5,  0.116,  0.113,  4.293, -9.000, 35.0394,  182013,  410908,    3983,    2007,
301, 180418,  455, 1840,  2,    5,  0.072,  0.088,  7.280, -9.000, 35.1061,  201365,  527028,    2609,    2160,
303, 180626,  541, 1914,  2,    5,  0.059,  0.064,  6.323, -9.000, 34.6873,      -9,  427026,    1120,    1110,
304, 180724,  530, 1930,  2,    5,  0.068,  0.087,  7.647, -9.000, 34.9701,  208084,  416267,    1128,     657,
305, 180910,  428, 1910,  2,    5,  0.052,  0.060,  6.700, -9.000, 34.5857,  192877,  501778,    1425,     841,
306, 181012,  511, 1652,  2,    5,  0.088,  0.103,  8.603, -9.000, 35.0045,  227599,  433854,    1087,     706,
307, 181116,  445, 2030,  2,    5,  0.103,  0.122,  6.357, -9.000, 35.1161,  190498,  424131,    1602,     694,
309, 190115,  441, 1925,  2,    5,  0.111,  0.120,  7.643, -9.000, 34.9215,  273656,  567785,    2132,    1408,
311, 190502,  444, 1923,  2,    5,  0.078,  0.077,  5.857, -9.000, 34.7416,  225804,  502012,    1229,    1417,
312, 190611,  532, 1940,  2,    5,  0.059,  0.053,  7.350, -9.000, 34.7162,  187168,  479409,     880,     940,
313, 190701,  424, 1932,  2,    5,  0.069,  0.058,  8.993, -9.000, 34.5690,  195149,  587629,    1970,    1372,
314, 190802,  431, 1948,  2,    5,  0.086,  0.075,  8.997, -9.000, 34.5519,  198093,  606163,     672,     689,
315, 190904,  423, 1925,  2,    5,  0.060,  0.060,  9.573, -9.000, 34.6712,  193989,  631139,     614,    1014,
316, 191017,  505, 1832,  2,    5,  0.116,  0.096,  9.103, -9.000, 34.9545,  204579,  498277,     458,     693,
317, 191219,  424, 1928,  2,    5,  0.092,  0.146,  6.377, -9.000, 34.7225,  198494,  397679,    1620,    1136,
319, 200130,  450, 1915,  2,    5,  0.071,  0.077,  7.007, -9.000, 34.7482,  211321,  474969,    2438,    1462,
320, 200714,  446, 1912,  2,    5,  0.066,  0.089,  8.190, -9.000, 34.5753,  203447,  486896,    1180,     688,
321, 200807,  450, 1927,  2,    5,  0.069,  0.074, -9.000, -9.000, 34.6331,  212057,  518398,     500,     455,
322, 200902,  456, 1900,  2,    5,  0.060,  0.067,  7.837, -9.000, 34.6413,  214634,  519448,     772,     660,
323, 200926,  513, 1849,  2,    5,  0.055,  0.069, -9.000, -9.000, 34.7091,  203925,  674674,     434,     419,
324, 201118,  450, 1817,  2,    5,  0.117,  0.130,  9.750, -9.000, 34.7591,  205575,  467900,    2948,    1139,
325, 201218,  436, 1915,  2,    5,  0.129,  0.129,  7.807, -9.000, 34.8310,  193658,  393776,    3280,    1046,
326, 210112,  430, 1839,  2,    5,  0.070,  0.070,  4.727, -9.000, 34.9748,  151343,  342963,    1407,     782,
