"pVal","phase","peak.shape","period","cruise","pop","param","first_peak"
4.46398326188936e-10,5,10,24,"KM1427","prochloro","abundance",2014-12-09 03:00:00
8.68779935285773e-35,20,13,24,"KM1427","prochloro","Qc",2014-12-09 18:00:00
0.000133106367224939,7,12,24,"KM1508","prochloro","abundance",2015-05-23 02:00:00
8.09638885663925e-47,1,10,24,"KM1508","prochloro","Qc",2015-05-22 20:00:00
0.215654273432202,13,17,24,"KM1512","prochloro","abundance",2015-07-19 09:00:00
2.93249088243653e-33,23,10,24,"KM1512","prochloro","Qc",2015-07-19 19:00:00
0.700060156809773,16,7,24,"KOK1515","prochloro","abundance",2015-10-13 14:00:00
4.98497465063686e-13,21,11,24,"KOK1515","prochloro","Qc",2015-10-13 19:00:00
1.12452668202735e-06,6,14,24,"KM1518","prochloro","abundance",2015-11-13 02:00:00
4.02185620900435e-27,22,12,24,"KM1518","prochloro","Qc",2015-11-13 18:00:00
6.42781102069816e-10,12,9,24,"KM1601","prochloro","abundance",2016-01-12 08:00:00
2.70624116016768e-30,24,11,24,"KM1601","prochloro","Qc",2016-01-12 20:00:00
3.97092903027083e-10,11,10,24,"KM1602","prochloro","abundance",2016-02-09 07:00:00
4.42872319368831e-27,24,11,24,"KM1602","prochloro","Qc",2016-02-09 20:00:00
2.940591234204e-10,14,15,24,"KOK1604","prochloro","abundance",2016-04-14 04:00:00
8.23786618435992e-27,8,13,24,"KOK1604","prochloro","Qc",2016-04-13 22:00:00
4.91898709358833e-06,15,15,24,"KOK1608","prochloro","abundance",2016-07-11 01:00:00
3.53104182886796e-21,9,11,24,"KOK1608","prochloro","Qc",2016-07-10 19:00:00
5.63826084115119e-16,20,8,24,"KOK1609","prochloro","abundance",2016-08-09 06:00:00
2.29622438532718e-22,9,11,24,"KOK1609","prochloro","Qc",2016-08-08 19:00:00
4.47474795115185e-09,6,12,24,"KM1708","prochloro","abundance",2017-06-20 02:00:00
1.95144623399449e-26,24,10,24,"KM1708","prochloro","Qc",2017-06-20 20:00:00
4.90667280162491e-12,7,14,24,"KM1717","prochloro","abundance",2017-11-08 02:00:00
3.87892880772172e-34,23,10,24,"KM1717","prochloro","Qc",2017-11-08 18:00:00
7.24906319415855e-09,7,13,24,"KM1802","prochloro","abundance",2018-01-17 02:00:00
1.47653165721334e-21,1,11,24,"KM1802","prochloro","Qc",2018-01-16 20:00:00
1.96175697218518e-07,5,13,24,"KOK1801","prochloro","abundance",2018-04-17 05:00:00
1.18512593844547e-13,19,11,24,"KOK1801","prochloro","Qc",2018-04-17 19:00:00
0.0192335673755054,5,14,24,"KOK1803","prochloro","abundance",2018-05-15 04:00:00
7.37546337440826e-06,19,13,24,"KOK1803","prochloro","Qc",2018-05-15 18:00:00
1.96721405077186e-06,4,16,24,"KOK1804","prochloro","abundance",2018-06-26 02:00:00
1.84823209681084e-21,20,10,24,"KOK1804","prochloro","Qc",2018-06-26 18:00:00
4.32311440037725e-08,7,11,24,"KOK1807","prochloro","abundance",2018-07-24 04:00:00
1.28612318807309e-35,21,12,24,"KOK1807","prochloro","Qc",2018-07-24 18:00:00
4.4797256228111e-07,1,13,24,"KM1821","prochloro","abundance",2018-11-15 20:00:00
5.68993559105061e-34,22,14,24,"KM1821","prochloro","Qc",2018-11-16 17:00:00
0.0434343413423951,3,13,24,"KM1901","prochloro","abundance",2019-01-14 23:00:00
1.04115639677703e-16,21,15,24,"KM1901","prochloro","Qc",2019-01-15 17:00:00
0.617618447491934,11,7,24,"KM1903","prochloro","abundance",2019-02-19 07:00:00
2.09073470785172e-18,22,13,24,"KM1903","prochloro","Qc",2019-02-19 18:00:00
3.25205188775206e-21,8,7,24,"KM1909","prochloro","abundance",2019-06-11 05:00:00
1.48048147321798e-34,23,10,24,"KM1909","prochloro","Qc",2019-06-11 20:00:00
3.23244152751373e-07,4,17,24,"KM1912","prochloro","abundance",2019-07-01 00:00:00
3.64001280290426e-22,23,9,24,"KM1912","prochloro","Qc",2019-07-01 19:00:00
0.000158193557988194,7,14,24,"KM1915","prochloro","abundance",2019-08-02 05:00:00
3.90719239653963e-18,22,10,24,"KM1915","prochloro","Qc",2019-08-02 20:00:00
2.72119118142031e-08,1,16,24,"KM1917","prochloro","abundance",2019-09-03 21:00:00
2.21979197262515e-38,23,12,24,"KM1917","prochloro","Qc",2019-09-04 19:00:00
9.46883718768776e-09,10,11,24,"HOT318","prochloro","abundance",2020-01-07 06:00:00
1.08189696641549e-19,22,14,24,"HOT318","prochloro","Qc",2020-01-07 18:00:00
0.00026387993570657,10,7,24,"HOT319","prochloro","abundance",2020-01-30 07:00:00
3.46484914680661e-29,22,13,24,"HOT319","prochloro","Qc",2020-01-30 19:00:00
0.000485875467079793,8,16,24,"HOT321","prochloro","abundance",2020-08-07 02:00:00
3.89987119537449e-42,24,13,24,"HOT321","prochloro","Qc",2020-08-07 18:00:00
0.383488491536686,15,11,24,"HOT322","prochloro","abundance",2020-09-02 23:00:00
9.73930480832618e-50,11,11,24,"HOT322","prochloro","Qc",2020-09-02 19:00:00
0.0854415961151374,22,17,24,"HOT323","prochloro","abundance",2020-09-26 22:00:00
1.66717700104631e-30,19,11,24,"HOT323","prochloro","Qc",2020-09-26 19:00:00
9.8869869569353e-10,23,17,24,"HOT324","prochloro","abundance",2020-11-18 23:00:00
1.63093731525177e-35,18,11,24,"HOT324","prochloro","Qc",2020-11-18 18:00:00
0.160005024971039,7,16,24,"HOT325","prochloro","abundance",2020-12-18 02:00:00
2.31606125467289e-14,24,9,24,"HOT325","prochloro","Qc",2020-12-18 19:00:00
3.33968940800883e-06,1,10,24,"HOT326","prochloro","abundance",2021-01-11 20:00:00
1.11714921925873e-14,1,11,24,"HOT326","prochloro","Qc",2021-01-11 20:00:00
1.38443581472483e-12,6,9,24,"KM1427","synecho","abundance",2014-12-09 04:00:00
1.10085838339231e-26,19,14,24,"KM1427","synecho","Qc",2014-12-09 17:00:00
3.06420361554487e-06,20,7,24,"KM1508","synecho","abundance",2015-05-23 15:00:00
9.54397495020794e-38,1,11,24,"KM1508","synecho","Qc",2015-05-22 20:00:00
0.912206949891001,2,16,24,"KM1512","synecho","abundance",2015-07-18 22:00:00
7.09154015591677e-13,23,10,24,"KM1512","synecho","Qc",2015-07-19 19:00:00
0.124071207654783,16,7,24,"KOK1515","synecho","abundance",2015-10-13 14:00:00
1.41845124140378e-08,17,13,24,"KOK1515","synecho","Qc",2015-10-13 15:00:00
0.000264989269740701,6,11,24,"KM1518","synecho","abundance",2015-11-13 02:00:00
1.69639688663171e-32,22,14,24,"KM1518","synecho","Qc",2015-11-13 18:00:00
0.0133989884963479,6,13,24,"KM1601","synecho","abundance",2016-01-12 02:00:00
2.93872101497806e-13,20,16,24,"KM1601","synecho","Qc",2016-01-12 16:00:00
0.333352590927485,7,13,24,"KM1602","synecho","abundance",2016-02-09 03:00:00
2.48422866358223e-16,23,13,24,"KM1602","synecho","Qc",2016-02-09 19:00:00
0.896240744720584,1,15,24,"KOK1604","synecho","abundance",2016-04-13 15:00:00
3.29662221954308e-21,8,14,24,"KOK1604","synecho","Qc",2016-04-13 22:00:00
0.00272511929108214,4,9,24,"KOK1608","synecho","abundance",2016-07-10 14:00:00
1.49015986876018e-09,8,15,24,"KOK1608","synecho","Qc",2016-07-10 18:00:00
1.21565811344719e-12,16,17,24,"KOK1609","synecho","abundance",2016-08-09 02:00:00
1.19551944082813e-18,10,11,24,"KOK1609","synecho","Qc",2016-08-08 20:00:00
1.10644676038715e-07,18,9,24,"KM1708","synecho","abundance",2017-06-20 14:00:00
1.31349987532779e-12,24,11,24,"KM1708","synecho","Qc",2017-06-20 20:00:00
0.00571948173761996,5,7,24,"KM1717","synecho","abundance",2017-11-08 00:00:00
1.53484727006897e-29,22,14,24,"KM1717","synecho","Qc",2017-11-08 17:00:00
1.62903005251662e-05,5,13,24,"KM1802","synecho","abundance",2018-01-17 00:00:00
6.55143526179044e-19,1,12,24,"KM1802","synecho","Qc",2018-01-16 20:00:00
0.19855958343937,12,7,24,"KOK1801","synecho","abundance",2018-04-17 12:00:00
7.89640561136313e-11,16,17,24,"KOK1801","synecho","Qc",2018-04-17 16:00:00
0.886154194861575,16,17,24,"KOK1803","synecho","abundance",2018-05-15 15:00:00
2.8699904741552e-05,19,13,24,"KOK1803","synecho","Qc",2018-05-15 18:00:00
0.208549165024572,2,16,24,"KOK1804","synecho","abundance",2018-06-26 00:00:00
1.54070482247879e-23,19,13,24,"KOK1804","synecho","Qc",2018-06-26 17:00:00
2.46001216627833e-07,21,7,24,"KOK1807","synecho","abundance",2018-07-24 18:00:00
1.59798991314014e-25,22,12,24,"KOK1807","synecho","Qc",2018-07-24 19:00:00
1.50199079521704e-18,12,14,24,"KM1821","synecho","abundance",2018-11-16 07:00:00
3.73112926474552e-31,21,16,24,"KM1821","synecho","Qc",2018-11-16 16:00:00
1.30987007633783e-10,11,14,24,"KM1901","synecho","abundance",2019-01-15 07:00:00
1.33854614737332e-09,22,15,24,"KM1901","synecho","Qc",2019-01-15 18:00:00
1.27919039603432e-14,12,13,24,"KM1903","synecho","abundance",2019-02-19 08:00:00
1.61962800799552e-12,23,12,24,"KM1903","synecho","Qc",2019-02-19 19:00:00
1.04820240676699e-13,8,16,24,"KM1909","synecho","abundance",2019-06-11 05:00:00
1.76899326389719e-32,21,13,24,"KM1909","synecho","Qc",2019-06-11 18:00:00
0.0018372906456426,12,8,24,"KM1912","synecho","abundance",2019-07-01 08:00:00
2.37942739815647e-22,22,12,24,"KM1912","synecho","Qc",2019-07-01 18:00:00
1.17366278068102e-06,8,15,24,"KM1915","synecho","abundance",2019-08-02 06:00:00
3.14829920163513e-07,23,9,24,"KM1915","synecho","Qc",2019-08-02 21:00:00
3.40172753125233e-21,13,12,24,"KM1917","synecho","abundance",2019-09-04 09:00:00
2.00048994898136e-35,22,13,24,"KM1917","synecho","Qc",2019-09-04 18:00:00
0.57524705525318,1,7,24,"HOT318","synecho","abundance",2020-01-06 21:00:00
1.51974375220504e-17,20,16,24,"HOT318","synecho","Qc",2020-01-07 16:00:00
6.32366513813267e-14,11,10,24,"HOT319","synecho","abundance",2020-01-30 08:00:00
2.95963757796115e-21,23,13,24,"HOT319","synecho","Qc",2020-01-30 20:00:00
0.000442559713980152,8,13,24,"HOT321","synecho","abundance",2020-08-07 02:00:00
2.02974006190997e-14,24,13,24,"HOT321","synecho","Qc",2020-08-07 18:00:00
2.34741271917068e-09,1,10,24,"HOT322","synecho","abundance",2020-09-02 09:00:00
1.14479590873358e-17,15,7,24,"HOT322","synecho","Qc",2020-09-02 23:00:00
0.145457180699465,3,13,24,"HOT323","synecho","abundance",2020-09-26 03:00:00
2.94287088122995e-23,17,13,24,"HOT323","synecho","Qc",2020-09-26 17:00:00
1.87249882454476e-13,5,11,24,"HOT324","synecho","abundance",2020-11-18 05:00:00
4.67271838158288e-36,18,13,24,"HOT324","synecho","Qc",2020-11-18 18:00:00
0.00068336759854627,4,17,24,"HOT325","synecho","abundance",2020-12-17 23:00:00
5.41629611304944e-06,24,7,24,"HOT325","synecho","Qc",2020-12-18 19:00:00
0.199037275321077,21,11,24,"HOT326","synecho","abundance",2021-01-12 16:00:00
1.25262364262951e-13,1,12,24,"HOT326","synecho","Qc",2021-01-11 20:00:00
0.345735413025888,11,11,24,"KM1427","picoeuk","abundance",2014-12-09 09:00:00
