"pVal","phase","peak.shape","period","cruise","pop","param","first_peak"
1.99919509589087e-10,11,12,24,"KM1427","prochloro","abundance",2014-12-09 09:00:00
8.68779935285773e-35,20,13,24,"KM1427","prochloro","Qc",2014-12-09 18:00:00
7.21666186284289e-27,10,13,24,"KM1508","prochloro","abundance",2015-05-23 05:00:00
8.09638885663925e-47,1,10,24,"KM1508","prochloro","Qc",2015-05-22 20:00:00
1.61574163510999e-06,14,14,24,"KM1512","prochloro","abundance",2015-07-19 10:00:00
2.93249088243653e-33,23,10,24,"KM1512","prochloro","Qc",2015-07-19 19:00:00
3.05426810004656e-11,9,13,24,"KM1518","prochloro","abundance",2015-11-13 05:00:00
4.02185620900435e-27,22,12,24,"KM1518","prochloro","Qc",2015-11-13 18:00:00
1.03551529139081e-30,11,14,24,"KM1601","prochloro","abundance",2016-01-12 07:00:00
2.70624116016768e-30,24,11,24,"KM1601","prochloro","Qc",2016-01-12 20:00:00
1.471419937248e-22,11,10,24,"KM1602","prochloro","abundance",2016-02-09 07:00:00
4.42872319368831e-27,24,11,24,"KM1602","prochloro","Qc",2016-02-09 20:00:00
2.78053021570423e-14,18,13,24,"KOK1604","prochloro","abundance",2016-04-14 03:00:00
1.28774620742215e-26,8,13,24,"KOK1604","prochloro","Qc",2016-04-13 17:00:00
0.0252551497693221,13,17,24,"KOK1608","prochloro","abundance",2016-07-10 23:00:00
3.53104182886796e-21,9,11,24,"KOK1608","prochloro","Qc",2016-07-10 19:00:00
9.72246467013684e-05,10,12,24,"KOK1609","prochloro","abundance",2016-08-08 20:00:00
2.29622438532718e-22,9,11,24,"KOK1609","prochloro","Qc",2016-08-08 19:00:00
5.79743987595938e-15,10,9,24,"KM1708","prochloro","abundance",2017-06-20 06:00:00
1.95144623399449e-26,24,10,24,"KM1708","prochloro","Qc",2017-06-20 20:00:00
6.26008409964711e-24,12,13,24,"KM1717","prochloro","abundance",2017-11-08 07:00:00
3.87892880772172e-34,23,10,24,"KM1717","prochloro","Qc",2017-11-08 18:00:00
7.80870570019402e-13,10,13,24,"KM1802","prochloro","abundance",2018-01-17 05:00:00
1.47653165721334e-21,1,11,24,"KM1802","prochloro","Qc",2018-01-16 20:00:00
0.0113606489295293,5,7,24,"KOK1801","prochloro","abundance",2018-04-17 05:00:00
1.18512593844547e-13,19,11,24,"KOK1801","prochloro","Qc",2018-04-17 19:00:00
8.17658190059814e-08,7,12,24,"KOK1803","prochloro","abundance",2018-05-15 06:00:00
7.37546337440826e-06,19,13,24,"KOK1803","prochloro","Qc",2018-05-15 18:00:00
6.29429720161181e-26,7,13,24,"KOK1804","prochloro","abundance",2018-06-26 05:00:00
1.84823209681084e-21,20,10,24,"KOK1804","prochloro","Qc",2018-06-26 18:00:00
1.05734302107425e-26,9,13,24,"KOK1807","prochloro","abundance",2018-07-24 06:00:00
1.28612318807309e-35,21,12,24,"KOK1807","prochloro","Qc",2018-07-24 18:00:00
2.81828460278384e-14,2,10,24,"KM1821","prochloro","abundance",2018-11-15 21:00:00
5.68993559105061e-34,22,14,24,"KM1821","prochloro","Qc",2018-11-16 17:00:00
2.67708909816447e-08,1,15,24,"KM1901","prochloro","abundance",2019-01-14 21:00:00
1.04115639677703e-16,21,15,24,"KM1901","prochloro","Qc",2019-01-15 17:00:00
3.88011986646092e-05,5,7,24,"KM1903","prochloro","abundance",2019-02-19 01:00:00
