"pVal","phase","peak.shape","period","cruise","pop","param","first_peak","peak_hour"
8.68779935285773e-35,20,13,24,"KM1427","prochloro","Qc",2014-12-09 18:00:00,18
8.09638885663925e-47,1,10,24,"KM1508","prochloro","Qc",2015-05-22 20:00:00,20
2.93249088243653e-33,23,10,24,"KM1512","prochloro","Qc",2015-07-19 19:00:00,19
4.02185620900435e-27,22,12,24,"KM1518","prochloro","Qc",2015-11-13 18:00:00,18
2.70624116016768e-30,24,11,24,"KM1601","prochloro","Qc",2016-01-12 20:00:00,20
4.42872319368831e-27,24,11,24,"KM1602","prochloro","Qc",2016-02-09 20:00:00,20
1.28774620742215e-26,8,13,24,"KOK1604","prochloro","Qc",2016-04-13 17:00:00,17
3.53104182886796e-21,9,11,24,"KOK1608","prochloro","Qc",2016-07-10 19:00:00,19
2.29622438532718e-22,9,11,24,"KOK1609","prochloro","Qc",2016-08-08 19:00:00,19
1.95144623399449e-26,24,10,24,"KM1708","prochloro","Qc",2017-06-20 20:00:00,20
3.87892880772172e-34,23,10,24,"KM1717","prochloro","Qc",2017-11-08 18:00:00,18
1.47653165721334e-21,1,11,24,"KM1802","prochloro","Qc",2018-01-16 20:00:00,20
1.18512593844547e-13,19,11,24,"KOK1801","prochloro","Qc",2018-04-17 19:00:00,19
7.37546337440826e-06,19,13,24,"KOK1803","prochloro","Qc",2018-05-15 18:00:00,18
1.84823209681084e-21,20,10,24,"KOK1804","prochloro","Qc",2018-06-26 18:00:00,18
1.28612318807309e-35,21,12,24,"KOK1807","prochloro","Qc",2018-07-24 18:00:00,18
5.68993559105061e-34,22,14,24,"KM1821","prochloro","Qc",2018-11-16 17:00:00,17
1.04115639677703e-16,21,15,24,"KM1901","prochloro","Qc",2019-01-15 17:00:00,17
2.09073470785172e-18,22,13,24,"KM1903","prochloro","Qc",2019-02-19 18:00:00,18
1.48048147321798e-34,23,10,24,"KM1909","prochloro","Qc",2019-06-11 20:00:00,20
3.64001280290426e-22,23,9,24,"KM1912","prochloro","Qc",2019-07-01 19:00:00,19
3.90719239653963e-18,22,10,24,"KM1915","prochloro","Qc",2019-08-02 20:00:00,20
2.21979197262515e-38,23,12,24,"KM1917","prochloro","Qc",2019-09-04 19:00:00,19
5.87321729477715e-22,23,13,24,"KM2001","prochloro","Qc",2020-01-07 19:00:00,19
4.90273621242113e-31,23,11,24,"KM2002","prochloro","Qc",2020-01-30 20:00:00,20
1.90073199352784e-43,24,13,24,"KM2009","prochloro","Qc",2020-08-07 18:00:00,18
2.8261968428167e-32,19,11,24,"KM2011","prochloro","Qc",2020-09-26 19:00:00,19
2.21312689814333e-35,18,11,24,"KM2013","prochloro","Qc",2020-11-18 18:00:00,18
2.85881627399159e-21,24,11,24,"KM2014","prochloro","Qc",2020-12-18 19:00:00,19
3.24216921784596e-32,24,13,24,"KM2101","prochloro","Qc",2021-01-12 19:00:00,19
1.10085838339231e-26,19,14,24,"KM1427","synecho","Qc",2014-12-09 17:00:00,17
9.54397495020794e-38,1,11,24,"KM1508","synecho","Qc",2015-05-22 20:00:00,20
7.09154015591677e-13,23,10,24,"KM1512","synecho","Qc",2015-07-19 19:00:00,19
